                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4217,                 1.8219,                 1.5037,                0.65367,                0.88339,                0.79817,                0.53619,                 1.1577,                  1.936,                 1.3233,             0.00046641,             0.00046641,             0.00046641
                      2,                 1.2301,                0.99124,                  1.302,                0.70493,                0.79129,                0.82242,                0.48811,                 1.2512,                 1.2071,                 1.3059,             0.00091163,             0.00091163,             0.00091163
                      3,                 1.2229,                 0.9545,                 1.2853,                0.78889,                0.90229,                0.88377,                0.55457,                 1.2572,                 1.0502,                  1.254,              0.0013254,              0.0013254,              0.0013254
                      4,                  1.188,                0.91065,                  1.259,                0.82057,                 0.9022,                0.91642,                0.60685,                 1.1467,                0.90139,                 1.2264,              0.0012875,              0.0012875,              0.0012875
                      5,                 1.1719,                0.87239,                 1.2495,                0.86205,                0.84345,                0.90149,                0.59387,                  1.232,                0.94252,                 1.2158,              0.0012404,              0.0012404,              0.0012404
                      6,                  1.169,                0.85674,                 1.2438,                0.81373,                0.89003,                0.90854,                0.60769,                 1.2204,                0.88552,                 1.2291,              0.0011932,              0.0011932,              0.0011932
                      7,                 1.1643,                0.85355,                 1.2351,                0.84079,                0.88615,                0.91723,                0.62698,                 1.1626,                0.79903,                 1.1904,              0.0011461,              0.0011461,              0.0011461
                      8,                 1.1415,                0.85539,                 1.2253,                0.85008,                 0.8752,                0.90379,                0.60259,                 1.1551,                0.80966,                 1.1945,              0.0010989,              0.0010989,              0.0010989
                      9,                 1.1316,                0.82289,                 1.2123,                0.85166,                0.93153,                0.91816,                0.62185,                 1.1646,                0.76818,                 1.1791,              0.0010517,              0.0010517,              0.0010517
                     10,                 1.1154,                0.81121,                 1.2049,                0.86576,                0.88809,                0.91152,                0.63842,                 1.0805,                 0.7662,                 1.1444,              0.0010046,              0.0010046,              0.0010046
                     11,                 1.1126,                0.78809,                 1.1935,                0.81763,                0.92444,                0.91612,                0.61995,                 1.0917,                 0.7533,                 1.1618,             0.00095743,             0.00095743,             0.00095743
                     12,                 1.1147,                0.78283,                 1.1938,                0.83329,                0.94081,                0.92385,                0.63533,                 1.1087,                0.87059,                 1.1439,             0.00091027,             0.00091027,             0.00091027
                     13,                 1.0999,                0.77663,                 1.1922,                0.85139,                0.92651,                0.92794,                0.63683,                  1.099,                0.76441,                 1.1376,             0.00086312,             0.00086312,             0.00086312
                     14,                 1.0792,                0.74584,                 1.1752,                0.82426,                0.89475,                0.90659,                0.61152,                 1.2174,                0.75744,                  1.188,             0.00081596,             0.00081596,             0.00081596
                     15,                 1.0898,                0.75902,                 1.1806,                0.83462,                  0.906,                0.91286,                0.62594,                 1.0941,                0.82731,                 1.1396,              0.0007688,              0.0007688,              0.0007688
                     16,                 1.0804,                0.75451,                 1.1758,                0.88878,                0.86763,                0.91651,                0.62856,                 1.1339,                0.71086,                 1.1117,             0.00072164,             0.00072164,             0.00072164
                     17,                  1.067,                0.73281,                 1.1595,                0.83884,                0.93703,                0.91722,                0.64247,                 1.0868,                0.79797,                 1.1298,             0.00067449,             0.00067449,             0.00067449
                     18,                 1.0599,                0.74414,                 1.1659,                0.85505,                0.85389,                0.90653,                0.62205,                 1.1919,                0.72292,                 1.1535,             0.00062733,             0.00062733,             0.00062733
                     19,                 1.0652,                0.73403,                 1.1596,                0.86116,                 0.8963,                0.92867,                0.66202,                 1.0782,                0.68107,                 1.1023,             0.00058017,             0.00058017,             0.00058017
                     20,                 1.0288,                0.70686,                 1.1372,                0.86552,                0.87677,                0.92304,                0.63966,                 1.1069,                0.70124,                  1.101,             0.00053302,             0.00053302,             0.00053302
                     21,                 1.0604,                0.69258,                 1.1636,                0.84642,                0.90467,                0.92289,                0.64786,                 1.1018,                0.72035,                 1.0951,             0.00048586,             0.00048586,             0.00048586
                     22,                  1.043,                0.68165,                 1.1476,                0.86157,                0.90323,                0.92773,                0.65226,                 1.0647,                0.71169,                 1.0983,              0.0004387,              0.0004387,              0.0004387
                     23,                 1.0183,                 0.6535,                 1.1369,                 0.8455,                0.93479,                0.93025,                0.64843,                 1.0992,                0.77345,                 1.0999,             0.00039155,             0.00039155,             0.00039155
                     24,                  1.014,                0.64344,                 1.1357,                0.83575,                0.91741,                0.92349,                0.65805,                 1.0759,                0.71256,                 1.0941,             0.00034439,             0.00034439,             0.00034439
                     25,                 1.0081,                0.64371,                 1.1282,                0.87334,                0.89859,                 0.9263,                0.64907,                 1.0975,                0.68511,                 1.1006,             0.00029723,             0.00029723,             0.00029723
                     26,                 1.0004,                0.64039,                 1.1297,                0.86134,                 0.9285,                0.92747,                0.64966,                 1.0864,                0.72526,                 1.1012,             0.00025007,             0.00025007,             0.00025007
                     27,                0.99248,                0.62326,                 1.1248,                0.84513,                0.90477,                0.92538,                0.64989,                 1.0772,                0.66226,                 1.0926,             0.00020292,             0.00020292,             0.00020292
                     28,                0.97286,                0.60377,                 1.1051,                 0.8535,                0.91707,                0.93043,                0.65715,                 1.0706,                0.72119,                 1.0843,             0.00015576,             0.00015576,             0.00015576
                     29,                0.95831,                0.59629,                 1.0991,                0.88633,                0.88364,                0.93434,                 0.6529,                 1.0743,                 0.6582,                 1.0886,              0.0001086,              0.0001086,              0.0001086
                     30,                0.95431,                0.59008,                 1.0944,                0.87916,                0.88428,                0.93177,                 0.6601,                 1.0766,                0.66374,                  1.086,             6.1447e-05,             6.1447e-05,             6.1447e-05
